COVID-19: summary of cases associated with primary and secondary schools,,,,,,,,,,,,,,,,,,,
"Data from September 6, 2020 to May 22, 2021 as of May 28, 2021",,,,,,,,,,,,,,,,,,,
Data in this report are provisional and subject to change.,,,,,,,,,,,,,,,,,,,
,,,,Previous Week (May 16 - May 22),,,,,,,,,,Cumulative (Sep 6 - May 22),,,,,
,,"Total
cases",,Role,,,,Symptoms,,,,"Total
cases",,Role,,,,Symptoms,
School,County,,Students,Teachers,Staff,Unknown,,Yes,No,,Unknown,,Students,Teachers,Staff,Unknown,Yes,No,Unknown
A. L. MEBANE MIDDLE SCHOOL,Alachua,1,1,0,0,0,,1,0,,0,15,14,0,0,1,13,2,0
A.QUINN JONES CENTER,Alachua,0,0,0,0,0,,0,0,,0,4,1,1,1,1,3,0,1
ABRAHAM LINCOLN MIDDLE SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,39,31,4,4,0,24,14,1
ALACHUA ACADEMY,Alachua,0,0,0,0,0,,0,0,,0,1,0,1,0,0,1,0,0
ALACHUA COUNTY PUBLIC SCHOOLS,Alachua,0,0,0,0,0,,0,0,,0,2,0,0,0,2,2,0,0
ALACHUA COUNTY PUBLIC SCHOOLS,Alachua,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
ALACHUA COUNTY PUBLIC SCHOOLS,Alachua,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
ALACHUA DISTRICT OFFICE,Alachua,0,0,0,0,0,,0,0,,0,1,0,0,1,0,1,0,0
ALACHUA ELEMENTARY SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,10,8,1,0,1,6,4,0
ALACHUA LEARNING ACADEMY ELEMENTARY,Alachua,2,2,0,0,0,,2,0,,0,3,3,0,0,0,3,0,0
ALACHUA LEARNING ACADEMY MIDDLE,Alachua,0,0,0,0,0,,0,0,,0,4,4,0,0,0,4,0,0
AMIKIDS,Alachua,0,0,0,0,0,,0,0,,0,2,2,0,0,0,2,0,0
ARCHER ELEMENTARY,Alachua,0,0,0,0,0,,0,0,,0,6,4,0,1,1,6,0,0
BHAKTIVEDANTA ACADEMY,Alachua,0,0,0,0,0,,0,0,,0,1,0,1,0,0,1,0,0
BOULWARE SPRINGS CHARTER,Alachua,2,2,0,0,0,,2,0,,0,13,9,2,1,1,10,3,0
C. W. NORTON ELEMENTARY SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,10,8,2,0,0,6,4,0
CARING & SHARING LEARNING SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,8,7,0,1,0,3,5,0
CAROLYN BEATRICE PARKER ELEMENTARY,Alachua,0,0,0,0,0,,0,0,,0,14,9,1,1,3,9,5,0
CHESTER SHELL ELEMENTARY SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,4,4,0,0,0,3,1,0
CHRISTIAN LIFE ACADEMY,Alachua,0,0,0,0,0,,0,0,,0,1,0,1,0,0,1,0,0
CORNERSTONE ACADEMY,Alachua,0,0,0,0,0,,0,0,,0,15,13,1,1,0,13,2,0
COUNTRYSIDE CHRISTIAN SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,18,16,1,1,0,17,0,1
EARLY LEARNING ACADEMY AT DUVAL,Alachua,0,0,0,0,0,,0,0,,0,3,2,1,0,0,2,1,0
EASTSIDE HIGH SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,42,36,1,4,1,32,10,0
EXPRESSIONS LEARNING ARTS ACADEMY,Alachua,0,0,0,0,0,,0,0,,0,1,0,1,0,0,1,0,0
F. W. BUCHHOLZ HIGH SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,83,75,3,5,0,67,16,0
FAMILY LIFE ACADEMY,Alachua,0,0,0,0,0,,0,0,,0,3,1,0,1,1,3,0,0
FIRST CHRISTIAN ACADEMY,Alachua,0,0,0,0,0,,0,0,,0,15,11,3,0,1,11,4,0
FORT CLARKE MIDDLE SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,34,29,3,1,1,28,6,0
GAINESVILLE COUNTRY DAY SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,8,7,1,0,0,6,2,0
GAINESVILLE HIGH SCHOOL,Alachua,2,2,0,0,0,,0,2,,0,71,61,5,2,3,52,16,3
GLEN SPRINGS ELEMENTARY SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,15,12,1,1,1,10,5,0
HAWTHORNE MIDDLE/HIGH SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,6,3,1,0,2,6,0,0
HIDDEN OAK ELEMENTARY SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,11,7,2,1,1,6,5,0
HIGH SPRINGS COMMUNITY SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,22,18,2,2,0,21,1,0
HOWARD W. BISHOP MIDDLE SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,24,19,2,2,1,18,5,1
IDYLWILD ELEMENTARY SCHOOL,Alachua,1,1,0,0,0,,0,1,,0,19,17,2,0,0,10,9,0
JORDAN GLEN SCHOOL INC.,Alachua,0,0,0,0,0,,0,0,,0,4,4,0,0,0,4,0,0
JOSEPH WILLIAMS ELEMENTARY SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,5,4,0,1,0,4,1,0
KANAPAHA MIDDLE SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,29,22,2,3,2,23,5,1
KIMBALL WILES ELEMENTARY SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,12,9,2,1,0,10,2,0
LAKE FOREST ELEMENTARY SCHOOL,Alachua,1,1,0,0,0,,1,0,,0,8,6,1,0,1,7,1,0
LANIAKEA MONTESSORI SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
LAWTON M. CHILES ELEMENTARY SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,12,10,1,1,0,10,2,0
LITTLEWOOD ELEMENTARY SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,21,15,5,0,1,14,6,1
COVID-19: summary of cases associated with primary and secondary schools,,,,,,,,,,,,,,,,,,,
"Data from September 6, 2020 to May 22, 2021 as of May 28, 2021",,,,,,,,,,,,,,,,,,,
Data in this report are provisional and subject to change.,,,,,,,,,,,,,,,,,,,
,,,,Previous Week (May 16 - May 22),,,,,,,,,,Cumulative (Sep 6 - May 22),,,,,
,,"Total
cases",,Role,,,,Symptoms,,,,"Total
cases",,Role,,,,Symptoms,
School,County,,Students,Teachers,Staff,Unknown,,Yes,No,,Unknown,,Students,Teachers,Staff,Unknown,Yes,No,Unknown
LIVING SPRINGS ACADEMY,Alachua,0,0,0,0,0,,0,0,,0,3,2,1,0,0,3,0,0
MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,4,3,0,1,0,3,1,0
MEADOWBROOK ELEMENTARY SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,8,4,2,1,1,6,2,0
MICANOPY ACADEMY,Alachua,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
"MICANOPY AREA COOPERATIVE SCHOOL, INC.",Alachua,0,0,0,0,0,,0,0,,0,5,1,2,2,0,4,1,0
MILLHOPPER MONTESSORI SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,2,2,0,0,0,2,0,0
MYRA TERWILLIGER ELEMENTARY SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,11,9,1,0,1,9,2,0
NEWBERRY CHRISTIAN COMMUNITY SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,7,6,1,0,0,3,4,0
NEWBERRY ELEMENTARY SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,15,12,2,0,1,10,5,0
NEWBERRY HIGH SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,44,34,3,4,3,33,9,2
NORTH CENTRAL FLORIDA PUBLIC CHARTER SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
OAK HALL SCHOOL,Alachua,1,1,0,0,0,,1,0,,0,38,31,4,2,1,27,11,0
OAK VIEW MIDDLE SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,32,26,3,1,2,25,6,1
P.K. YONGE DEVELOPMENTAL RESEARCH SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,34,24,4,5,1,26,8,0
PACE,Alachua,0,0,0,0,0,,0,0,,0,6,5,0,0,1,4,2,0
PASSAGE CHRISTIAN ACADEMY & PRIME TIME AFTER SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,5,3,1,1,0,5,0,0
QUEEN OF PEACE CATHOLIC ACADEMY,Alachua,2,2,0,0,0,,0,2,,0,14,10,1,2,1,10,4,0
RESILIENCE CHARTER SCHOOL INC,Alachua,0,0,0,0,0,,0,0,,0,3,3,0,0,0,3,0,0
SAINT FRANCIS CATHOLIC HIGH SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,13,10,2,0,1,7,6,0
SAINT PATRICK INTERPARISH SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,5,4,0,0,1,3,2,0
SANTA FE COLLEGE HIGH SCHOOL DUAL ENROLLMENT,Alachua,0,0,0,0,0,,0,0,,0,2,2,0,0,0,2,0,0
SANTA FE HIGH SCHOOL,Alachua,3,3,0,0,0,,3,0,,0,60,54,2,3,1,48,12,0
SIDNEY LANIER CENTER,Alachua,0,0,0,0,0,,0,0,,0,9,6,1,1,1,8,1,0
ST. BARBARA,Alachua,0,0,0,0,0,,0,0,,0,1,1,0,0,0,0,1,0
STEPHEN FOSTER ELEMENTARY SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,13,12,0,1,0,9,4,0
THE ACADEMY PRESCHOOL,Alachua,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
"THE EINSTEIN SCHOOL, INC.",Alachua,0,0,0,0,0,,0,0,,0,6,5,0,1,0,4,2,0
THE ONE ROOM SCHOOL HOUSE PROJECT,Alachua,0,0,0,0,0,,0,0,,0,7,3,1,0,3,4,3,0
THE ROCK SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,14,10,4,0,0,10,4,0
UNIVERSITY OF FLORIDA,Alachua,0,0,0,0,0,,0,0,,0,2,2,0,0,0,2,0,0
W. A. METCALFE ELEMENTARY SCHOOL,Alachua,1,1,0,0,0,,1,0,,0,12,10,0,2,0,5,7,0
W. W. IRBY ELEMENTARY SCHOOL,Alachua,2,2,0,0,0,,1,1,,0,5,3,0,0,2,4,1,0
WESTWOOD MIDDLE SCHOOL,Alachua,1,1,0,0,0,,1,0,,0,26,22,1,2,1,14,11,1
WILES HEAD START,Alachua,0,0,0,0,0,,0,0,,0,2,1,0,1,0,2,0,0
WILLIAM S. TALBOT ELEM SCHOOL,Alachua,1,1,0,0,0,,1,0,,0,17,12,2,3,0,10,7,0
WINDSOR CHRISTIAN ACADEMY,Alachua,0,0,0,0,0,,0,0,,0,1,0,1,0,0,1,0,0
Z.L. SUNG S.D.A. SCHOOL,Alachua,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
BAKER COUNTY ADULT CENTER,Baker,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
BAKER COUNTY HIGH SCHOOL,Baker,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
BAKER COUNTY MIDDLE SCHOOL,Baker,0,0,0,0,0,,0,0,,0,50,44,5,0,1,40,9,1
BAKER COUNTY SENIOR HIGH SCHOOL,Baker,0,0,0,0,0,,0,0,,0,132,109,8,4,11,113,17,2
BAKER DISTRICT OFFICE,Baker,0,0,0,0,0,,0,0,,0,9,0,0,5,4,9,0,0
